H [m];qc [MPa];fs [MPa];u2 [MPa];Incl. [Deg];t [s];v [cm/s];Rf [%];Uo [MPa];qt [MPa];ft [MPa];sigmaVo [MPa];sigma'Vo [MPa];Qt [];Bq [];Rf(qc) [%];Rfd [%];soil [];UW [kN/m3];qc [MPa];fs [MPa];u2 [MPa]
0.00;0.000;0.00;0.0004;5.1;6.880;0.000;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.0000;0.000;0.000;1;12.50;0.000;0.00;0.0004
0.01;0.913;0.00;0.0001;4.9;7.890;0.990;0.077;0.000;0.913;0.001;0.000;0.000;0.000;0.0000;0.077;0.000;1;17.50;1.986;0.00;-0.0003
0.02;1.649;0.00;-0.0001;4.9;8.510;1.613;0.074;0.000;1.649;0.001;0.000;0.000;0.000;0.0000;0.074;0.000;1;18.50;2.580;0.00;-0.0002
0.03;2.350;0.00;-0.0003;4.9;9.010;2.000;0.076;0.000;2.350;0.002;0.001;0.000;0.000;0.0000;0.076;0.000;1;18.50;3.153;0.00;-0.0008
0.04;2.927;0.00;-0.0005;4.9;9.490;2.083;0.080;0.000;2.927;0.002;0.001;0.000;0.000;0.0000;0.080;0.000;8;18.50;3.472;0.00;-0.0007
0.05;3.414;0.00;-0.0006;4.9;9.920;2.326;0.088;0.000;3.414;0.003;0.001;0.000;0.000;0.0000;0.088;0.036;8;19.00;3.842;0.00;-0.0008
0.06;3.808;0.00;-0.0007;4.8;10.340;2.381;0.103;0.000;3.808;0.004;0.001;0.000;0.000;0.0000;0.103;0.067;8;19.00;4.045;0.00;-0.0010
0.07;4.132;0.01;-0.0008;4.9;10.760;2.381;0.126;0.000;4.132;0.005;0.001;0.000;0.000;0.0000;0.126;0.047;8;19.00;4.264;0.00;-0.0009
0.08;4.402;0.01;-0.0009;4.8;11.180;2.381;0.156;0.000;4.402;0.007;0.001;0.000;0.000;0.0000;0.156;0.049;8;19.00;4.484;0.00;-0.0009
0.09;4.632;0.01;-0.0009;4.9;11.580;2.500;0.195;0.000;4.632;0.009;0.002;0.000;0.000;0.0000;0.195;0.087;8;19.00;4.712;0.00;-0.0007
0.10;4.830;0.01;-0.0009;4.8;11.980;2.500;0.240;0.000;4.830;0.012;0.002;0.000;0.000;0.0000;0.240;0.211;8;19.00;4.889;0.01;-0.0009
0.11;5.001;0.01;-0.0009;4.8;12.380;2.500;0.290;0.000;5.001;0.014;0.002;0.000;0.000;0.0000;0.290;0.304;8;19.00;5.156;0.02;-0.0010
0.12;5.147;0.02;-0.0009;4.8;12.780;2.500;0.343;0.000;5.147;0.018;0.002;0.000;0.000;0.0000;0.343;0.345;8;19.00;5.354;0.02;-0.0010
0.13;5.271;0.02;-0.0010;4.8;13.180;2.500;0.396;0.000;5.271;0.021;0.002;0.000;0.000;0.0000;0.396;0.392;8;19.00;5.496;0.02;-0.0010
0.14;5.378;0.02;-0.0010;4.8;13.580;2.500;0.448;0.000;5.378;0.024;0.003;0.000;0.000;0.0000;0.448;0.456;8;19.00;5.522;0.02;-0.0010
0.15;5.477;0.03;-0.0010;4.8;13.960;2.632;0.495;0.000;5.477;0.027;0.003;0.000;0.000;0.0000;0.495;0.533;8;19.00;5.509;0.03;-0.0011
0.16;5.575;0.03;-0.0010;4.8;14.340;2.632;0.535;0.000;5.575;0.030;0.003;0.000;0.000;0.0000;0.535;0.552;8;19.00;5.462;0.03;-0.0009
0.17;5.681;0.03;-0.0010;4.8;14.730;2.564;0.568;0.000;5.681;0.032;0.003;0.000;0.000;0.0000;0.568;0.624;8;19.00;5.419;0.04;-0.0010
0.18;5.800;0.03;-0.0010;4.8;15.110;2.632;0.592;0.000;5.800;0.034;0.003;0.000;0.000;0.0000;0.592;0.660;8;19.00;5.501;0.04;-0.0010
0.19;5.930;0.04;-0.0010;4.8;15.510;2.500;0.610;0.000;5.930;0.036;0.004;0.000;0.000;0.0000;0.610;0.646;8;19.00;5.794;0.04;-0.0009
0.20;6.067;0.04;-0.0010;4.8;15.910;2.500;0.624;0.000;6.067;0.038;0.004;0.000;0.000;0.0000;0.624;0.627;8;19.00;6.087;0.04;-0.0010
0.21;6.201;0.04;-0.0010;4.8;16.310;2.500;0.638;0.000;6.201;0.040;0.004;0.000;0.000;0.0000;0.638;0.627;8;19.00;6.375;0.04;-0.0010
0.22;6.325;0.04;-0.0010;4.8;16.710;2.500;0.656;0.000;6.325;0.041;0.004;0.000;0.000;0.0000;0.656;0.595;8;19.00;6.556;0.04;-0.0010
0.23;6.430;0.04;-0.0010;4.8;17.110;2.500;0.679;0.000;6.430;0.044;0.004;0.000;0.000;0.0000;0.679;0.563;8;19.00;6.759;0.04;-0.0012
0.24;6.514;0.05;-0.0010;4.8;17.510;2.500;0.707;0.000;6.514;0.046;0.005;0.000;0.000;0.0000;0.707;0.669;8;19.00;6.591;0.04;-0.0011
0.25;6.580;0.05;-0.0010;4.8;17.910;2.500;0.737;0.000;6.580;0.049;0.005;0.000;0.000;0.0000;0.737;0.724;8;19.00;6.728;0.05;-0.0012
