H [m];qc [MPa];fs [MPa];u2 [MPa];TAX [degrees];TAY [degrees];t [s];Rf [%];Uo [MPa];qt [MPa];ft [MPa];sigmaVo [MPa];sigma'Vo [MPa];Qt [];Bq [];Rf(qc) [%];Rfd [%];soil [];UW [kN/m3];qc [MPa];fs [MPa];u2 [MPa]
0.00;0.203;0.000;-0.0008;0.270;0.180;8.330;0.005;0.000;0.203;0.000;0.000;0.000;0.000;0.0000;0.000;0.000;1;17.50;0.203;0.000;-0.0008
0.01;0.268;0.000;-0.0008;0.338;0.180;9.310;0.004;0.000;0.268;0.000;0.000;0.000;0.000;0.0000;0.000;0.000;1;17.50;0.211;0.000;-0.0007
0.02;0.339;0.000;-0.0007;0.360;0.382;9.770;0.003;0.000;0.339;0.000;0.000;0.000;0.000;0.0000;0.000;0.000;1;17.50;0.301;0.000;-0.0005
0.03;0.412;0.000;-0.0007;0.338;0.180;10.200;0.002;0.000;0.412;0.000;0.001;0.000;0.000;0.0000;0.000;0.000;1;17.50;0.422;0.000;-0.0005
0.04;0.489;0.000;-0.0007;0.360;0.247;10.620;0.002;0.000;0.489;0.000;0.001;0.000;0.000;0.0000;0.000;0.000;1;17.50;0.493;0.000;-0.0008
0.05;0.569;0.001;-0.0007;0.360;0.247;11.040;0.176;0.000;0.569;0.001;0.001;0.000;0.000;0.0000;0.176;0.169;1;17.50;0.493;0.000;-0.0008
0.06;0.654;0.001;-0.0007;0.248;0.337;11.460;0.153;0.000;0.654;0.001;0.001;0.000;0.000;0.0000;0.153;0.147;1;17.50;0.654;0.000;-0.0008
0.07;0.742;0.001;-0.0007;0.338;0.292;11.880;0.135;0.000;0.742;0.001;0.001;0.000;0.000;0.0000;0.135;0.129;1;17.50;0.740;0.001;-0.0006
0.08;0.837;0.002;-0.0007;0.360;0.359;12.300;0.239;0.000;0.837;0.002;0.001;0.000;0.000;0.0000;0.239;0.226;1;17.50;0.846;0.001;-0.0004
0.09;0.939;0.002;-0.0007;0.225;0.180;12.720;0.213;0.000;0.939;0.002;0.002;0.000;0.000;0.0000;0.213;0.199;1;17.50;0.940;0.002;-0.0008
0.10;1.053;0.003;-0.0007;0.225;0.180;13.140;0.285;0.000;1.053;0.003;0.002;0.000;0.000;0.0000;0.285;0.263;1;18.00;0.940;0.003;-0.0008
0.11;1.184;0.004;-0.0007;0.428;0.269;13.560;0.338;0.000;1.184;0.004;0.002;0.000;0.000;0.0000;0.338;0.308;1;18.00;1.070;0.003;-0.0005
0.12;1.337;0.005;-0.0007;0.360;0.382;13.970;0.374;0.000;1.337;0.005;0.002;0.000;0.000;0.0000;0.374;0.337;1;18.00;1.230;0.004;-0.0005
0.13;1.518;0.006;-0.0007;0.360;0.382;14.380;0.395;0.000;1.518;0.006;0.002;0.000;0.000;0.0000;0.395;0.353;1;18.00;1.230;0.005;-0.0005
0.14;1.736;0.007;-0.0007;0.383;0.247;14.790;0.403;0.000;1.736;0.007;0.002;0.000;0.000;0.0000;0.403;0.359;1;18.50;1.595;0.005;-0.0009
0.15;1.996;0.008;-0.0007;0.360;0.247;15.200;0.401;0.000;1.996;0.008;0.003;0.000;0.000;0.0000;0.401;0.357;1;18.50;1.784;0.008;-0.0010
0.16;2.308;0.009;-0.0007;0.315;0.269;15.600;0.390;0.000;2.308;0.009;0.003;0.000;0.000;0.0000;0.390;0.350;1;18.50;2.050;0.009;-0.0007
0.17;2.677;0.010;-0.0007;0.383;0.314;16.010;0.374;0.000;2.677;0.010;0.003;0.000;0.000;0.0000;0.374;0.340;8;18.50;2.454;0.009;-0.0005
0.18;3.104;0.012;-0.0008;0.383;0.314;16.420;0.387;0.000;3.104;0.012;0.003;0.000;0.000;0.0000;0.387;0.358;8;18.50;2.454;0.012;-0.0005
0.19;3.588;0.013;-0.0008;0.450;0.337;16.830;0.362;0.000;3.588;0.013;0.003;0.000;0.000;0.0000;0.362;0.343;8;18.50;3.129;0.012;-0.0005
